ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20230402.16249.17,cal-LFC-eve,True,regular,305.6,337.9,350.9,334.4,939.1,440.0,594.3,701.2,735.8,2193.3,60.0,60.0,2023-04-02 04:31:19.279000,60036.188069
KP.20230503.57995.10,cal-LFC-morn,True,regular,295.6,326.8,338.1,308.8,874.3,433.8,579.0,701.5,701.2,2076.4,60.0,60.0,2023-05-03 16:07:05.730000,60067.671238
KP.20230118.78982.61,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 21:56:52.715000,59962.914147
KP.20240920.67718.44,autocal-lfc-all-morn,True,regular,-14.678,378.736,188.048,125.121,218.114,-34.319,859.915,582.891,528.777,527.407,60.0,60.001,2024-09-20 18:49:08.454000,60573.783779
KP.20250630.26887.77,autocal-lfc-all-midnight,True,regular,15.87,373.978,464.775,361.386,299.038,31.655,824.908,1020.503,1052.687,1163.052,60.0,60.0,2025-06-30 07:28:37.782000,60856.311202
KP.20260124.67385.96,autocal-lfc-all-morn,True,regular,118.267,238.276,120.499,119.238,129.909,382.598,795.271,452.591,567.986,903.434,10.0,10.018,2026-01-24 18:43:10.968000,61064.779927
KP.20230701.09611.45,manualcal-fast-lfc-all-eve,False,fast,5.3,126.4,145.0,182.3,322.1,10.8,224.0,287.0,382.5,720.2,60.0,60.0,2023-07-01 02:40:41.455000,60126.111241
KP.20230701.10141.28,manualcal-fast-lfc-all-eve,False,fast,5.3,141.3,144.8,177.8,325.7,11.2,249.2,285.6,374.0,723.4,60.0,60.017,2023-07-01 02:49:31.284000,60126.117374
KP.20240523.34455.72,autocal-lfc-all-midnight,True,regular,6.354,285.784,227.039,162.125,240.395,12.666,622.227,662.266,668.356,727.08,60.0,60.0,2024-05-23 09:34:45.727000,60453.398792
KP.20250424.20363.86,autocal-lfc-deep-stack,True,regular,10.092,93.726,325.471,318.102,268.007,16.491,203.238,726.969,929.254,1071.122,60.0,60.02,2025-04-24 05:39:53.871000,60789.235689
KP.20240513.67494.54,autocal-lfc-all-morn,True,regular,5.675,188.982,150.176,103.62,153.277,10.312,409.297,428.503,421.871,459.242,60.0,60.025,2024-05-13 18:45:24.556000,60443.781187
KP.20230320.64253.68,cal-LFC-morn,True,regular,32.5,359.2,335.9,290.2,566.5,41.2,616.0,673.4,636.3,1311.9,60.0,60.0,2023-03-20 17:51:24.259000,60023.743675
KP.20251101.10824.15,autocal-lfc-all-eve,True,regular,8.939,299.605,504.063,303.406,343.645,19.108,914.291,1685.85,1297.997,2242.056,60.0,60.0,2025-11-01 03:00:54.163000,60980.125279
